aid,view,danmaku,favorite,coin,share
38590439,24883,178,219,179,23
38596082,102,0,6,8,3
38593236,257,7,3,5,2
37848477,36,0,1,1,0
38590456,909,0,7,2,1
38596894,147,3,11,11,0
38592859,185,0,4,2,0
38590718,290,15,0,1,1
38581532,3614,2,34,78,2
38547258,6750,12,77,66,6
38595066,4073,0,76,17,0
38566924,94,0,1,2,1
38553080,1707,3,13,31,1
38548206,281,0,4,4,0
38593182,222,4,9,3,1
38590938,1515,7,4,18,0
38593973,774,4,1,16,1
38589379,1303,0,16,5,0
38576579,8088,11,55,65,2
38538206,18012,28,18,16,3
38587493,463,0,11,4,0
38590102,847,5,8,2,6
38589634,240,0,3,2,0
38591459,2313,4,88,31,2
38588716,53963,162,215,348,38
38530987,118,0,0,2,0
38590424,894,0,5,4,0
38644586,6725,9,31,25,20
38619452,33,0,1,1,0
38631718,173,0,3,6,0
38454198,889,8,13,31,0
38253514,170,1,1,1,1
38644278,1336,3,1,2,1
38643771,10791,79,59,346,5
38643465,343,1,1,2,0
38642665,65,0,0,4,0
38642448,34,1,2,1,0
38642977,123,0,1,1,0
38564029,900,0,20,1,2
38487192,3816,73,97,290,22
38588888,2973,2,7,8,2
38555096,137,0,0,2,0
38586066,49,0,3,1,1
38586503,1248,6,18,80,3
38586788,23736,22,166,104,12
38585548,813,17,14,39,6
38584641,469,0,0,2,1
38585588,22,0,1,5,0
38109544,75313,85,238,59,48
38583174,3510,6,8,15,5
38582004,883,0,3,3,1
38578781,121,0,1,2,0
38563827,16107,98,91,8,8
38576611,26,0,2,2,0
38577735,1889,7,41,35,6
38578315,40,0,1,2,0
38578741,26,0,2,1,0
38579038,742,0,1,1,0
38576909,1091,2,1,2,0
38578215,662,0,2,2,0
38575477,741,6,26,74,2
38577199,68,0,0,2,0
