id,name,rank,fans,articles
101030,世界的正确用法,0.00026900492365158793,1141,29
223803,殘酷的現實,0.00025622985951101343,1102,42
296515,蘭陵笑笑生,0.0003159989189230534,2081,37
2304046,66loveslife,0.0016082057774772303,12637,21
391679,A路人,0.002414543119098901,19096,49
184994,恋之八卦炉,0.0008641584571996527,1385,229
772717,都灵,0.00025622985888488646,2131,5
2966301,萌萌代,0.0002634547119821929,2322,17
600293,翼国游者,0.0002821994141995979,2405,41
210896,温柔帅气三笠酱,0.0002918998436168384,3530,25
113524,腐靡之灾,0.0006355265966057701,6535,2317
865267,真·凤舞九天,0.00026651733716204933,1485,4
631917,桥西,0.0011600262000864318,1602,10
161972,无节操の节操君,0.000320221281511647,1025,26
2250815,胜负师UCG,0.0010180861832454864,3220,61
112359,地狱大元帅,0.0005449777572116929,11087,29
11073,hanser,0.004721620000384095,31426,57
1385986,绯想的长女大人,0.0004832904344002451,1029,37
301631,欣の迷失,0.000612418578178522,3933,11
294885,shinknight,0.000271922898165735,1357,5
348396,帽子菌,0.00026761029571808397,2610,15
89595,声动音缘-叮当,0.0016563274349313383,1917,63
397435,马里K,0.00033791711153872614,1615,13
2543295,Shepherd小牧,0.0006908781603597918,1068,89
384322,L之影,0.000256229850381281,1088,104
359442,那个夏天bili,0.00029348115426570433,1031,14
827921,洞爷湖不是湖,0.000370614550384006,1664,121
778163,DarkfulS,0.0012914809379027798,7457,51
342511,世界の終わり,0.0004519145208359758,1267,524
8327,冷泉夜月,0.0013383325486180345,6580,34
51111,小透明洞洞,0.0003026757319183255,1243,90
305252,菊花为何那样红,0.0003341942123526082,5193,14
368412,牛芒,0.000301602426071514,1853,197
1563476,白昼星,0.00031898042223722713,1134,264
329456,肚腩酱爆排骨焖猪蹄,0.00028876887311392394,1097,12
5632,亚月,0.0025415283712172903,6965,37
207893,蛋君Tamago,0.0002904664645205984,2235,26
4776,床单姬,0.0003412821554052935,2853,21
391445,天草丶喵丶酱,0.00031741178837587795,1037,5
376194,华尔裘蕾,0.001193229545391341,1529,699
280668,UKUS一条翔,0.00030758141303338985,1484,443
3341,苏维埃废铁,0.0005193880813470685,1371,138
312381,打牌的初音,0.0012572088523781727,3068,34
70432,bilibili伯,0.0007335077598393934,7116,243
292445,爽爽子,0.002075001933612133,7001,12
696786,八城伊理寿,0.00025622984267839735,1123,92
195041,此生不灭夜,0.0008681904316600865,5921,81
263656,紧那罗之歌,0.00029868212282052267,4767,30
563557,chidey,0.0002653872688555061,1299,337
330676,庄生晓梦Void,0.0002895143333426508,1781,90
351007,杂菌,0.0009921082498037504,7974,45
78427,绫濑舞,0.000265304650510007,1283,87
1299889,純潔的鬼畜姬,0.00047355788936782927,1172,30
678596,ininn,0.0005351057466162837,1029,15
319291,肥魚,0.002229110347401224,15989,17
636070,AlexYu,0.00030214316772606437,1887,31
247710,番薯君,0.0005772246141932075,1533,10
1322259,暮色TOP,0.0005380570811957369,1249,5
569919,小溪喵喵,0.0004103738789532545,1643,2
93066,N.ec鱼丸,0.006192332576351953,29246,10
327106,薄纱魔导研究所,0.0006769804328260068,2808,87
7714,女孩为何穿短裙,0.002122522137013317,5028,4
166891,CHS.,0.00037641319676743435,1750,1870
3295,新月冰冰,0.0011207247302370928,8830,71
644202,高数挂肯,0.0003610585062882954,1187,24
140108,清水湾大酒店,0.0005633441679669319,1070,38
1433840,vivian198808,0.0020875407348110732,2465,27
112979,鸠羽舞衣,0.00037607367462651783,1038,5
704,Sephiroth,0.0010588832770150702,4223,105
109564,战场原妖精,0.0013380327551984956,1243,22
681890,幻世夜魔,0.000681747601143858,1166,52
15312,撸伤了的巡音姐姐,0.0010891706789369676,2293,37
138892,V.R.,0.001878904603094652,5121,108
131458,蜃景,0.0004970707050617816,2320,461
915302,捐血武神,0.000303381173935105,2903,4
653318,茉了个莉,0.0008419312694007265,1787,26
132676,K·H·Aria,0.0005055114526012947,2858,60
284424,小熊绅士,0.0004723816886704166,18778,37
8839,TSA,0.002238844208900323,1431,821
63052,汐沨的頹靡,0.0003358908825750778,2427,34
2542453,乔秋秋,0.0002562298290421498,1179,11
831287,猪队友小Y,0.00025622982842622645,1316,3
11544,哈哈大大仙,0.00046661467042615997,1246,55
414581,燃点突破,0.0004073907102106029,1011,11
574438,Chokeslam,0.0008764372918332324,1318,29
120586,凯玟桑,0.0014622096491822571,18538,52
680417,17173游戏视频,0.001274246741316629,38381,140
393776,苦逼琪,0.00027192286622799533,1056,17
